Timestamp,Frame,X_min,Y_min,X_max,Y_max,Confidence,Average_Depth_m,area,ground_truth,source_file
2025-04-08 16:18:00.799,2,240,0,441,119,0.97,3.924,23919,3.5,realsense_detections3500
2025-04-08 16:18:01.594,3,241,0,441,119,0.97,3.931,23800,3.5,realsense_detections3500
2025-04-08 16:18:02.289,4,241,0,441,119,0.97,3.921,23800,3.5,realsense_detections3500
2025-04-08 16:18:02.901,5,240,0,442,120,0.97,3.922,24240,3.5,realsense_detections3500
2025-04-08 16:18:03.559,6,241,0,441,119,0.97,3.946,23800,3.5,realsense_detections3500
2025-04-08 16:18:04.239,7,241,0,441,119,0.97,3.921,23800,3.5,realsense_detections3500
2025-04-08 16:18:04.858,8,241,0,442,119,0.97,3.934,23919,3.5,realsense_detections3500
2025-04-08 16:18:05.470,9,241,0,442,119,0.97,3.953,23919,3.5,realsense_detections3500
2025-04-08 16:18:06.128,10,241,0,441,119,0.97,3.942,23800,3.5,realsense_detections3500
2025-04-08 16:18:06.800,11,240,0,442,120,0.97,3.939,24240,3.5,realsense_detections3500
2025-04-08 16:18:07.458,12,241,0,441,119,0.97,3.937,23800,3.5,realsense_detections3500
2025-04-08 16:18:08.149,13,241,0,442,119,0.97,3.941,23919,3.5,realsense_detections3500
2025-04-08 16:18:08.856,14,241,0,441,119,0.97,3.932,23800,3.5,realsense_detections3500
2025-04-08 16:18:09.622,15,241,0,441,119,0.97,3.911,23800,3.5,realsense_detections3500
2025-04-08 16:18:10.330,16,241,0,442,119,0.97,3.933,23919,3.5,realsense_detections3500
2025-04-08 16:18:10.973,17,231,0,431,120,0.97,4.049,24000,3.5,realsense_detections3500
2025-04-08 16:18:11.630,18,228,0,428,120,0.97,4.067,24000,3.5,realsense_detections3500
2025-04-08 16:18:12.295,19,218,0,417,119,0.97,4.147,23681,3.5,realsense_detections3500
2025-04-08 16:18:12.949,20,208,0,408,120,0.97,3.956,24000,3.5,realsense_detections3500
2025-04-08 16:18:13.545,21,210,0,410,120,0.97,4.05,24000,3.5,realsense_detections3500
2025-04-08 16:18:14.299,22,208,0,408,120,0.97,4.068,24000,3.5,realsense_detections3500
2025-04-08 16:18:14.959,23,210,0,409,120,0.97,3.985,23880,3.5,realsense_detections3500
2025-04-08 16:18:15.618,24,210,0,409,120,0.97,3.952,23880,3.5,realsense_detections3500
2025-04-08 16:18:16.321,25,209,0,409,120,0.97,4.015,24000,3.5,realsense_detections3500
2025-04-08 16:18:17.012,26,209,0,409,120,0.97,3.992,24000,3.5,realsense_detections3500
2025-04-08 16:18:17.655,27,209,0,409,120,0.97,3.999,24000,3.5,realsense_detections3500
2025-04-08 16:18:18.381,28,209,0,409,120,0.97,4.103,24000,3.5,realsense_detections3500
2025-04-08 16:18:19.048,29,209,0,409,120,0.97,3.973,24000,3.5,realsense_detections3500
2025-04-08 16:18:19.717,30,209,0,409,120,0.97,4.066,24000,3.5,realsense_detections3500
2025-04-08 16:18:20.439,31,209,0,408,120,0.97,4.011,23880,3.5,realsense_detections3500
2025-04-08 16:18:21.143,32,209,0,408,120,0.97,3.994,23880,3.5,realsense_detections3500
2025-04-08 16:18:21.818,33,209,0,409,120,0.97,4.008,24000,3.5,realsense_detections3500
2025-04-08 16:17:03.259,2,239,15,413,135,0.97,4.538,20880,4.0,realsense_detections4000
2025-04-08 16:17:03.971,3,241,16,415,137,0.96,4.638,21054,4.0,realsense_detections4000
2025-04-08 16:17:04.698,4,242,16,415,137,0.96,4.508,20933,4.0,realsense_detections4000
2025-04-08 16:17:05.398,5,242,15,416,135,0.96,4.715,20880,4.0,realsense_detections4000
2025-04-08 16:17:06.058,6,242,16,415,140,0.96,4.675,21452,4.0,realsense_detections4000
2025-04-08 16:17:06.765,7,241,15,415,136,0.96,4.622,21054,4.0,realsense_detections4000
2025-04-08 16:17:07.471,8,242,16,416,136,0.96,4.584,20880,4.0,realsense_detections4000
2025-04-08 16:17:08.162,9,241,15,415,137,0.96,4.573,21228,4.0,realsense_detections4000
2025-04-08 16:17:08.852,10,240,15,415,136,0.97,4.529,21175,4.0,realsense_detections4000
2025-04-08 16:17:09.604,11,240,15,414,136,0.97,4.665,21054,4.0,realsense_detections4000
2025-04-08 16:17:10.326,12,241,16,415,135,0.96,4.624,20706,4.0,realsense_detections4000
2025-04-08 16:17:11.018,13,241,15,415,138,0.96,4.579,21402,4.0,realsense_detections4000
2025-04-08 16:17:11.661,14,240,15,414,136,0.97,4.614,21054,4.0,realsense_detections4000
2025-04-08 16:17:12.338,15,240,15,415,136,0.97,4.52,21175,4.0,realsense_detections4000
2025-04-08 16:17:13.028,16,241,15,415,136,0.97,4.651,21054,4.0,realsense_detections4000
2025-04-08 16:17:13.688,17,241,15,415,136,0.96,4.792,21054,4.0,realsense_detections4000
2025-04-08 16:17:14.484,18,241,15,415,136,0.96,4.671,21054,4.0,realsense_detections4000
2025-04-08 16:17:15.226,19,241,16,415,139,0.96,4.666,21402,4.0,realsense_detections4000
2025-04-08 16:17:15.932,20,241,15,415,136,0.96,4.751,21054,4.0,realsense_detections4000
2025-04-08 16:17:18.170,21,241,15,415,138,0.96,4.597,21402,4.0,realsense_detections4000
2025-04-08 16:17:18.851,22,241,16,415,139,0.96,4.592,21402,4.0,realsense_detections4000
2025-04-08 16:17:19.554,23,241,16,415,137,0.96,4.674,21054,4.0,realsense_detections4000
2025-04-08 16:17:20.249,24,241,15,415,137,0.96,4.625,21228,4.0,realsense_detections4000
2025-04-08 16:16:36.177,2,245,39,399,150,0.96,5.148,17094,4.5,realsense_detections4500
2025-04-08 16:16:36.860,3,246,38,399,150,0.96,5.485,17136,4.5,realsense_detections4500
2025-04-08 16:16:37.557,4,245,38,399,149,0.96,5.517,17094,4.5,realsense_detections4500
2025-04-08 16:16:38.202,5,246,39,399,149,0.96,5.173,16830,4.5,realsense_detections4500
2025-04-08 16:16:38.845,6,245,38,399,149,0.96,5.253,17094,4.5,realsense_detections4500
2025-04-08 16:16:39.526,7,245,38,399,147,0.96,5.535,16786,4.5,realsense_detections4500
2025-04-08 16:16:40.208,8,245,38,399,150,0.96,5.379,17248,4.5,realsense_detections4500
2025-04-08 16:16:40.852,9,246,39,399,150,0.96,5.179,16983,4.5,realsense_detections4500
2025-04-08 16:16:41.551,10,246,39,399,147,0.96,5.102,16524,4.5,realsense_detections4500
2025-04-08 16:16:42.208,11,246,39,399,149,0.96,5.232,16830,4.5,realsense_detections4500
2025-04-08 16:16:42.882,12,246,39,399,148,0.96,5.209,16677,4.5,realsense_detections4500
2025-04-08 16:16:43.588,13,246,39,399,149,0.96,5.237,16830,4.5,realsense_detections4500
2025-04-08 16:16:44.293,14,246,39,399,147,0.96,5.204,16524,4.5,realsense_detections4500
2025-04-08 16:15:55.410,2,253,60,392,160,0.97,5.81,13900,5.0,realsense_detections5000
2025-04-08 16:15:56.162,3,253,60,393,160,0.97,5.788,14000,5.0,realsense_detections5000
2025-04-08 16:15:56.904,4,253,59,392,160,0.97,6.001,14039,5.0,realsense_detections5000
2025-04-08 16:15:57.624,5,253,60,393,160,0.97,5.747,14000,5.0,realsense_detections5000
2025-04-08 16:15:58.379,6,253,59,392,160,0.97,5.984,14039,5.0,realsense_detections5000
2025-04-08 16:15:59.092,7,253,59,392,160,0.97,6.074,14039,5.0,realsense_detections5000
2025-04-08 16:15:59.741,8,253,59,392,160,0.97,6.268,14039,5.0,realsense_detections5000
2025-04-08 16:16:00.463,9,253,59,392,160,0.97,5.969,14039,5.0,realsense_detections5000
2025-04-08 16:16:01.197,10,253,59,392,160,0.97,5.977,14039,5.0,realsense_detections5000
2025-04-08 16:16:01.856,11,253,59,392,160,0.97,6.092,14039,5.0,realsense_detections5000
2025-04-08 16:16:02.562,12,253,59,392,160,0.97,5.98,14039,5.0,realsense_detections5000
2025-04-08 16:16:03.266,13,253,59,392,160,0.97,5.994,14039,5.0,realsense_detections5000
2025-04-08 16:16:03.950,14,253,59,392,160,0.97,5.903,14039,5.0,realsense_detections5000
2025-04-08 16:16:04.657,15,253,59,392,160,0.97,6.037,14039,5.0,realsense_detections5000
2025-04-08 16:16:05.363,16,253,59,392,160,0.97,6.174,14039,5.0,realsense_detections5000
2025-04-08 16:16:06.067,17,253,59,392,160,0.97,5.958,14039,5.0,realsense_detections5000
2025-04-08 16:15:23.861,2,250,78,376,163,0.97,7.173,10710,5.5,realsense_detections5500
2025-04-08 16:15:24.565,3,250,78,376,163,0.97,7.083,10710,5.5,realsense_detections5500
2025-04-08 16:15:25.240,4,250,78,376,163,0.97,7.185,10710,5.5,realsense_detections5500
2025-04-08 16:15:25.983,5,250,78,376,163,0.97,7.159,10710,5.5,realsense_detections5500
2025-04-08 16:15:26.715,6,250,78,376,163,0.97,7.193,10710,5.5,realsense_detections5500
2025-04-08 16:15:27.405,7,250,78,376,163,0.97,7.201,10710,5.5,realsense_detections5500
2025-04-08 16:15:28.117,8,250,78,376,163,0.97,7.179,10710,5.5,realsense_detections5500
2025-04-08 16:15:28.801,9,250,78,376,163,0.97,7.205,10710,5.5,realsense_detections5500
2025-04-08 16:15:29.524,10,250,78,376,163,0.97,7.125,10710,5.5,realsense_detections5500
2025-04-08 16:15:30.221,11,250,78,376,163,0.97,7.325,10710,5.5,realsense_detections5500
2025-04-08 16:15:30.936,12,250,78,376,163,0.97,7.315,10710,5.5,realsense_detections5500
2025-04-08 16:15:31.705,13,250,78,376,163,0.97,7.259,10710,5.5,realsense_detections5500
2025-04-08 16:15:32.380,14,250,78,376,163,0.97,7.318,10710,5.5,realsense_detections5500
2025-04-08 16:15:33.134,15,250,78,376,163,0.97,7.236,10710,5.5,realsense_detections5500
2025-04-08 16:15:33.886,16,250,78,376,163,0.97,7.397,10710,5.5,realsense_detections5500
2025-04-08 16:15:34.545,17,250,78,376,163,0.97,7.283,10710,5.5,realsense_detections5500
2025-04-08 16:15:35.236,18,250,78,376,163,0.97,7.293,10710,5.5,realsense_detections5500
2025-04-08 16:15:36.001,19,250,78,376,163,0.97,7.235,10710,5.5,realsense_detections5500
2025-04-08 16:15:36.738,20,250,78,376,163,0.97,7.213,10710,5.5,realsense_detections5500
2025-04-08 16:15:37.384,21,250,78,376,163,0.97,7.216,10710,5.5,realsense_detections5500
2025-04-08 16:15:38.164,22,250,78,376,163,0.97,7.316,10710,5.5,realsense_detections5500
2025-04-08 16:14:52.920,2,258,91,374,172,0.96,7.983,9396,6.0,realsense_detections6000
2025-04-08 16:14:53.726,3,258,91,374,173,0.96,7.997,9512,6.0,realsense_detections6000
2025-04-08 16:14:54.566,4,258,91,374,172,0.96,8.054,9396,6.0,realsense_detections6000
2025-04-08 16:14:55.366,5,258,91,374,172,0.96,8.145,9396,6.0,realsense_detections6000
2025-04-08 16:14:56.164,6,258,91,374,172,0.96,8.08,9396,6.0,realsense_detections6000
2025-04-08 16:14:57.012,7,258,91,374,172,0.96,8.093,9396,6.0,realsense_detections6000
2025-04-08 16:14:57.797,8,258,91,374,173,0.96,8.137,9512,6.0,realsense_detections6000
2025-04-08 16:14:58.566,9,258,91,374,172,0.96,8.035,9396,6.0,realsense_detections6000
2025-04-08 16:14:59.380,10,259,91,375,173,0.96,7.975,9512,6.0,realsense_detections6000
2025-04-08 16:14:21.526,2,276,103,382,177,0.96,8.321,7844,6.5,realsense_detections6500
2025-04-08 16:14:22.352,3,276,103,382,177,0.96,8.286,7844,6.5,realsense_detections6500
2025-04-08 16:14:23.125,4,276,103,382,176,0.96,8.748,7738,6.5,realsense_detections6500
2025-04-08 16:14:23.912,5,276,103,382,177,0.96,8.597,7844,6.5,realsense_detections6500
2025-04-08 16:14:24.675,6,276,103,382,176,0.96,8.613,7738,6.5,realsense_detections6500
2025-04-08 16:14:25.428,7,275,103,382,176,0.96,8.551,7811,6.5,realsense_detections6500
2025-04-08 16:14:26.173,8,276,103,382,176,0.96,8.566,7738,6.5,realsense_detections6500
2025-04-08 16:14:26.978,9,276,103,382,177,0.96,8.529,7844,6.5,realsense_detections6500
2025-04-08 16:14:27.710,10,276,103,382,176,0.96,8.543,7738,6.5,realsense_detections6500
2025-04-08 16:14:28.445,11,275,103,382,176,0.96,8.465,7811,6.5,realsense_detections6500
2025-04-08 16:14:29.213,12,276,103,382,176,0.96,8.61,7738,6.5,realsense_detections6500
2025-04-08 16:13:50.939,2,279,120,371,184,0.96,10.655,5888,7.0,realsense_detections7000
2025-04-08 16:13:51.657,3,289,116,383,181,0.96,10.384,6110,7.0,realsense_detections7000
2025-04-08 16:13:52.428,4,270,116,367,183,0.96,8.951,6499,7.0,realsense_detections7000
2025-04-08 16:13:53.174,5,272,115,371,183,0.96,9.73,6732,7.0,realsense_detections7000
2025-04-08 16:13:53.920,6,271,112,370,181,0.96,10.103,6831,7.0,realsense_detections7000
2025-04-08 16:13:54.741,7,275,114,374,183,0.96,9.726,6831,7.0,realsense_detections7000
2025-04-08 16:13:55.471,8,275,114,374,182,0.96,9.387,6732,7.0,realsense_detections7000
2025-04-08 16:13:56.099,9,275,113,373,182,0.96,10.146,6762,7.0,realsense_detections7000
2025-04-08 16:13:56.867,10,275,113,373,182,0.96,9.985,6762,7.0,realsense_detections7000
2025-04-08 16:13:57.541,11,275,114,373,183,0.96,9.783,6762,7.0,realsense_detections7000
2025-04-08 16:13:58.238,12,275,114,373,182,0.96,9.603,6664,7.0,realsense_detections7000
2025-04-08 16:13:59.023,13,275,114,374,183,0.96,9.903,6831,7.0,realsense_detections7000
2025-04-08 16:13:59.745,14,275,113,373,182,0.96,10.118,6762,7.0,realsense_detections7000
2025-04-08 16:14:00.444,15,275,114,373,183,0.96,9.711,6762,7.0,realsense_detections7000
2025-04-08 16:14:01.209,16,275,114,373,183,0.96,9.72,6762,7.0,realsense_detections7000
2025-04-08 16:13:19.072,2,279,120,371,184,0.96,10.568,5888,7.5,realsense_detections7500
2025-04-08 16:13:19.839,3,278,120,371,184,0.96,10.735,5952,7.5,realsense_detections7500
2025-04-08 16:13:20.655,4,279,120,371,185,0.96,10.518,5980,7.5,realsense_detections7500
2025-04-08 16:13:21.435,5,279,120,371,184,0.96,10.549,5888,7.5,realsense_detections7500
2025-04-08 16:13:22.161,6,279,120,371,184,0.96,10.713,5888,7.5,realsense_detections7500
2025-04-08 16:13:22.884,7,279,120,371,184,0.96,10.689,5888,7.5,realsense_detections7500
2025-04-08 16:13:23.590,8,278,120,371,184,0.96,10.631,5952,7.5,realsense_detections7500
2025-04-08 16:13:24.360,9,279,120,371,184,0.96,10.505,5888,7.5,realsense_detections7500
2025-04-08 16:13:25.094,10,279,120,371,184,0.96,10.581,5888,7.5,realsense_detections7500
2025-04-08 16:13:25.860,11,279,120,371,184,0.96,10.472,5888,7.5,realsense_detections7500
2025-04-08 16:13:26.597,12,279,120,371,184,0.96,10.757,5888,7.5,realsense_detections7500
2025-04-08 16:13:27.369,13,279,120,371,184,0.96,10.394,5888,7.5,realsense_detections7500
2025-04-08 16:13:28.355,14,279,120,371,184,0.96,10.519,5888,7.5,realsense_detections7500
2025-04-08 16:13:29.283,15,279,120,371,184,0.96,10.623,5888,7.5,realsense_detections7500
2025-04-08 16:13:30.130,16,279,120,371,184,0.96,10.579,5888,7.5,realsense_detections7500
